entity_name,entity_value,prediction
item_weight,500.0 gram,0.3
item_volume,1.0 cup,centilitre
item_weight,0.709 gram,200 mg
item_weight,0.709 gram,1
item_weight,1400 milligram,1400 mg
item_weight,1400 milligram,1400 mg
item_weight,1400 milligram,1400 mg
item_weight,1400 milligram,1400 mg
item_weight,1400 milligram,1400 mg
item_weight,1400 milligram,1400mg
item_weight,30.0 kilogram,30KG
item_weight,10 kilogram to 15 kilogram,10-15 kg
item_weight,3.53 ounce,3.5
item_weight,3.53 ounce,3.3
item_weight,53 ounce,"1. Milligram, 2. Gram, 3. Ton, 4. Ounce, 5. Microgram, 6. Kilogram"
item_weight,100 gram,1.1 milligram
item_weight,200 gram,200g
item_weight,1 kilogram,1 kg
item_weight,200 gram,1 kg
item_weight,200 gram,2.0
item_weight,200 gram,9.4
item_volume,4.0 gallon,22.2 in
item_weight,2.7 gram,2.7 grams
item_weight,112 gram,4x28g
item_weight,4.1 kilogram,4.1 KG / 4.4 KG
voltage,48.0 volt,"13V, 18V, 17V, 5V, 14V, and 16V"
item_weight,158.0 gram,15g
item_weight,158.0 gram,15.8
item_weight,5000 milligram,500mg
item_weight,18.55 gram,50 ml
item_weight,18.55 gram,50 ml
item_weight,18.55 gram,50 ml
item_weight,18.55 gram,50 ml
item_weight,18.55 gram,50 ml
item_weight,50.0 gram,50
item_weight,26.0 gram,26g
wattage,800.0 watt,800W
voltage,36.0 volt,7
item_weight,330.0 pound,330lbs
item_weight,31.0 ounce,51.70 IN
item_weight,0.35 ounce,0.35 oz
item_weight,35.0 gram,180
wattage,150.0 watt,150W
wattage,150.0 watt,150W
wattage,30.0 watt,30W
wattage,30.0 watt,30W
item_weight,15.5 gram,15.5g
item_weight,200.0 gram,200GSM
wattage,250.0 watt,250 W
item_volume,10.0 ounce,"1 tablet, Water (100oz), Boil, 3 min."
item_weight,0.8 kilogram,0.8KG
item_weight,169.0 gram,1.38
item_weight,10.0 gram,10g
item_weight,7.0 gram,0.01
item_weight,750.0 gram,750
item_weight,160.0 gram,160 g
item_weight,270.0 gram,1. Milligram (mg)
item_weight,500 gram,500g
item_weight,1 kilogram,60g
item_weight,10 kilogram,60
item_weight,1 kilogram,60g
item_weight,2.2 pound,1.2g
wattage,60.0 watt,60W
item_volume,30.0 millilitre,30ml
item_volume,30.0 millilitre,microlitre
item_volume,30.0 millilitre,microlitre
item_volume,30.0 millilitre,microlitre
item_volume,30.0 millilitre,"microlitre, millilitre, centilitre, gallon, pint, cubic inch, fluid ounce, quart, cubic foot, imperial gallon, decilitre, cup"
item_weight,2 ounce,100% SOY AROMATHERAPY CANDLE
item_weight,8.1 gram,8.1 g (About)
item_weight,2 kilogram,2 kg
item_weight,10 kilogram,10 kg
item_weight,500.0 kilogram,Milligram
item_weight,200.0 gram,200 gm
item_weight,200.0 gram,0.22
item_weight,200.0 gram,Milligram
item_weight,200.0 gram,2
item_weight,100.0 gram,0.2
item_weight,200.0 gram,Net Weight: 250g
item_weight,5.0 kilogram,5 Kgs
item_weight,60.0 pound,0.6
item_volume,3.0 cubic foot,"microlitre, millilitre, centilitre, gallon, pint, cubic inch, fluid ounce, litre, quart, cubic foot, imperial gallon, decilitre, cup"
item_weight,227 gram,0.8
item_weight,100 gram,100
item_weight,190.0 gram,190 g
item_weight,100.0 gram,0.10 g
item_weight,600 milligram,600 mg
item_weight,3.2 gram,3.2G
item_weight,6.5 gram,6.5 grams
item_weight,160.0 gram,1.60mg
item_weight,42.0 gram,3
item_weight,26.0 gram,26 grams
wattage,0.55 watt,5.0W
item_weight,50.0 milligram,50 mg
item_weight,10.0 kilogram,10
wattage,49.0 watt,"The image shows two blue tubes with white and purple lights. There is no clear information about the wattage of the lights, but the image does not provide any details on the units used."
item_weight,500 milligram,500mg
item_weight,500 milligram,500mg
item_weight,16.0 gram,"16g, 301g, 302g, 302g"
item_weight,8 kilogram,8kg
